"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12541","alert or dialog handling","chromium","2026-08-04","passed","2026-08-04","","Session4\ShadowDom-alert-iframes.spec.ts","",""
"","2022","Screenshot with time-stamp","chromium","2026-08-04","passed","2026-08-04","","Session6\resizeWindow-Screenshot-File Upload.spec.ts","",""
"","6183","working with nested iframes","chromium","2026-08-04","passed","2026-08-04","","Session4\ShadowDom-alert-iframes.spec.ts","",""
"","3476","Counting iframe","chromium","2026-08-04","passed","2026-08-04","","Session4\ShadowDom-alert-iframes.spec.ts","",""
"","30335","Multiple file upload","chromium","2026-08-04","broken","2026-08-04","","Session6\resizeWindow-Screenshot-File Upload.spec.ts","",""
"","3716","resize window","chromium","2026-08-04","failed","2026-08-04","","Session6\resizeWindow-Screenshot-File Upload.spec.ts","",""
"","3200","Screenshot without time-stamp","chromium","2026-08-04","passed","2026-08-04","","Session6\resizeWindow-Screenshot-File Upload.spec.ts","",""
"","3886","Single file upload","chromium","2026-08-04","passed","2026-08-04","","Session6\resizeWindow-Screenshot-File Upload.spec.ts","",""
"","14189","handeling shadowdom","chromium","2026-08-04","passed","2026-08-04","","Session4\ShadowDom-alert-iframes.spec.ts","",""
"","3524","Nested iframes + child frames","chromium","2026-08-04","passed","2026-08-04","","Session4\ShadowDom-alert-iframes.spec.ts","",""
"","3035","Working with iframe","chromium","2026-08-04","passed","2026-08-04","","Session4\ShadowDom-alert-iframes.spec.ts","",""
